"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","city_name"
"2025-07-01 00:00:01+08:00",1.0,125.08,0.0,0.56,45.96,0.23,1.31,2.17,0.01,"Alaminos"
"2025-07-01 00:00:02+08:00",1.0,135.77,0.0,0.23,48.74,0.07,0.86,1.38,0.01,"Angeles City"
"2025-07-01 00:00:03+08:00",1.0,340.48,1.06,6.77,34.34,1.94,8.92,12.12,2.41,"Antipolo"
"2025-07-01 00:00:05+08:00",1.0,371.25,1.29,6.21,11.81,0.92,9.79,10.79,1.46,"Bacolod"
"2025-07-01 00:00:07+08:00",1.0,153.23,0.0,0.65,49.81,0.18,0.96,1.45,0.32,"Bacoor"
"2025-07-01 00:00:10+08:00",1.0,118.52,0.0,0.33,39.01,0.08,1.1,1.73,0.08,"Bago City"
"2025-07-01 00:00:11+08:00",1.0,249.3,0.09,3.06,25.85,0.54,5.55,7.02,0.56,"Baguio"
"2025-07-01 00:00:13+08:00",1.0,114.63,0.0,0.36,35.94,0.04,1.13,1.79,0.07,"Bais"
"2025-07-01 00:00:15+08:00",1.0,145.13,0.0,0.24,50.93,0.08,1.0,1.68,0.01,"Balanga"
"2025-07-01 00:00:17+08:00",1.0,253.66,0.0,6.71,37.12,2.45,6.98,7.72,0.24,"Batac City"
"2025-07-01 00:00:19+08:00",1.0,162.81,0.0,0.99,49.83,0.12,1.07,1.38,0.08,"Batangas City"
"2025-07-01 00:00:21+08:00",1.0,130.13,0.01,0.86,30.55,0.09,1.83,2.69,0.3,"Bayawan"
"2025-07-01 00:00:23+08:00",1.0,147.59,0.0,1.35,35.34,0.2,1.32,1.69,0.2,"Baybay"
"2025-07-01 00:00:24+08:00",2.0,399.16,1.08,7.08,1.93,0.78,12.9,13.9,5.48,"Bayugan"
"2025-07-01 00:00:26+08:00",1.0,150.62,0.0,3.35,30.59,1.06,1.73,2.1,0.79,"Bislig"
"2025-07-01 00:00:29+08:00",1.0,151.88,0.0,0.66,49.4,0.11,0.83,1.11,0.2,"Biñan"
"2025-07-01 00:00:30+08:00",1.0,193.61,0.04,3.95,18.33,0.78,3.6,4.51,1.2,"Bogo"
"2025-07-01 00:00:32+08:00",1.0,221.86,0.0,7.92,29.48,2.1,4.72,5.12,1.18,"Borongan"
"2025-07-01 00:00:33+08:00",2.0,451.37,1.83,7.79,0.87,0.93,15.95,17.28,8.64,"Butuan"
"2025-07-01 00:00:36+08:00",2.0,484.54,2.12,8.49,0.7,1.05,18.77,20.55,8.29,"Cabadbaran"
"2025-07-01 00:00:38+08:00",1.0,137.93,0.0,1.57,45.61,0.59,0.99,1.67,0.18,"Cabanatuan City"
"2025-07-01 00:00:40+08:00",1.0,151.88,0.0,0.66,49.4,0.11,0.83,1.11,0.2,"Cabuyao"
"2025-07-01 00:00:42+08:00",1.0,147.1,0.01,1.52,29.77,0.23,1.87,2.31,0.55,"Cadiz"
"2025-07-01 00:00:44+08:00",1.0,241.73,0.15,4.15,18.65,0.4,5.29,5.79,2.56,"Cagayan de Oro"
"2025-07-01 00:00:45+08:00",1.0,160.15,0.0,0.62,51.63,0.09,1.09,1.51,0.07,"Calaca"
"2025-07-01 00:00:46+08:00",1.0,151.88,0.0,0.66,49.4,0.11,0.83,1.11,0.2,"Calamba"
"2025-07-01 00:00:48+08:00",1.0,157.45,0.0,0.87,48.48,0.1,1.0,1.37,0.06,"Calapan"
"2025-07-01 00:00:50+08:00",1.0,211.83,0.01,6.2,27.11,2.41,4.41,5.69,2.44,"Calbayog City"
"2025-07-01 00:00:52+08:00",1.0,152.74,0.0,0.87,48.09,0.28,0.99,1.53,0.54,"Caloocan City"
"2025-07-01 00:00:55+08:00",2.0,393.6,0.11,7.85,18.62,1.37,11.95,13.65,0.93,"Candon"
"2025-07-01 00:00:57+08:00",1.0,114.49,0.0,0.27,38.68,0.07,0.98,1.5,0.06,"Canlaon"
"2025-07-01 00:00:59+08:00",1.0,119.4,0.0,0.61,36.87,0.22,0.78,1.0,0.2,"Carcar"
"2025-07-01 00:01:02+08:00",1.0,151.88,0.0,0.66,49.4,0.11,0.83,1.11,0.2,"Carmona"
"2025-07-01 00:01:04+08:00",1.0,153.68,0.0,4.64,30.3,2.72,2.49,3.2,0.88,"Catbalogan"
"2025-07-01 00:01:06+08:00",3.0,1118.94,7.56,17.22,1.63,3.59,49.36,53.1,8.99,"Cauayan"
"2025-07-01 00:01:09+08:00",1.0,153.23,0.0,0.65,49.81,0.18,0.96,1.45,0.32,"Cavite City"
"2025-07-01 00:01:11+08:00",1.0,134.52,0.01,1.23,31.35,0.27,1.3,1.6,0.43,"Cebu City"
"2025-07-01 00:01:13+08:00",1.0,161.57,0.0,1.52,45.58,0.49,1.16,1.75,1.06,"City of Marikina"
"2025-07-01 00:01:15+08:00",1.0,371.25,1.29,6.21,11.81,0.92,9.79,10.79,1.46,"City of Masbate"
"2025-07-01 00:01:17+08:00",1.0,118.58,0.0,0.32,38.45,0.07,1.01,1.67,0.08,"City of Passi"
"2025-07-01 00:01:20+08:00",1.0,207.59,0.01,3.6,25.79,0.47,3.29,3.82,0.54,"City of Sorsogon"
"2025-07-01 00:01:22+08:00",1.0,105.6,0.0,0.17,35.85,0.04,0.92,1.52,0.02,"Cotabato"
"2025-07-01 00:01:24+08:00",3.0,769.48,2.59,14.73,5.99,3.67,33.04,35.67,8.52,"Dagupan"
"2025-07-01 00:01:27+08:00",1.0,132.79,0.01,1.32,30.66,0.31,1.23,1.5,0.45,"Danao"
"2025-07-01 00:01:28+08:00",1.0,134.52,0.01,1.23,31.35,0.27,1.3,1.6,0.43,"Dapitan"
"2025-07-01 00:01:30+08:00",1.0,153.73,0.0,0.44,51.54,0.08,0.94,1.37,0.1,"Dasmariñas"
"2025-07-01 00:01:33+08:00",1.0,191.13,0.12,2.48,12.49,0.31,3.86,4.54,0.98,"Davao"
"2025-07-01 00:01:34+08:00",1.0,131.99,0.04,0.86,29.11,0.12,1.83,2.75,0.34,"Digos"
"2025-07-01 00:01:37+08:00",1.0,197.06,0.12,3.6,24.56,0.56,3.88,4.6,2.69,"Dipolog"
"2025-07-01 00:01:38+08:00",1.0,172.2,0.11,1.91,24.94,0.17,3.34,3.88,0.86,"Dumaguete"
"2025-07-01 00:01:40+08:00",1.0,180.04,0.07,2.46,26.72,0.24,3.12,3.43,1.55,"El Salvador"
"2025-07-01 00:01:43+08:00",1.0,174.52,0.03,2.52,22.57,0.33,2.86,3.41,0.9,"Escalante"
"2025-07-01 00:01:45+08:00",1.0,142.7,0.0,1.41,45.86,0.52,1.0,1.65,0.37,"Gapan"
"2025-07-01 00:01:47+08:00",1.0,105.17,0.0,0.24,38.85,0.09,1.35,3.08,0.0,"General Santos"
"2025-07-01 00:01:49+08:00",1.0,153.73,0.0,0.44,51.54,0.08,0.94,1.37,0.1,"General Trias"
"2025-07-01 00:01:50+08:00",1.0,332.4,0.62,6.44,13.81,0.62,9.63,10.54,5.78,"Gingoog City"
"2025-07-01 00:01:52+08:00",1.0,114.07,0.0,0.16,40.02,0.04,1.11,1.85,0.0,"Himamaylan"
"2025-07-01 00:01:54+08:00",3.0,966.41,3.04,17.55,4.74,2.74,43.16,45.21,8.22,"Ilagan"
"2025-07-01 00:01:55+08:00",1.0,107.41,0.0,0.28,34.35,0.03,0.74,0.85,0.07,"Iligan City"
"2025-07-01 00:01:57+08:00",1.0,121.56,0.0,0.19,40.85,0.05,1.32,2.31,0.0,"Iloilo City"
"2025-07-01 00:01:59+08:00",1.0,153.23,0.0,0.65,49.81,0.18,0.96,1.45,0.32,"Imus"
"2025-07-01 00:02:01+08:00",1.0,143.18,0.0,1.15,36.92,0.18,1.14,1.59,0.17,"Iriga City"
