"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","city_name"
"2025-02-01 00:00:00+08:00",2.0,350.48,0.0,2.91,73.67,1.48,11.7,13.71,1.68,"Alaminos"
"2025-02-01 00:00:02+08:00",1.0,410.56,0.0,6.86,42.56,1.94,8.3,10.96,2.72,"Angeles City"
"2025-02-01 00:00:04+08:00",1.0,347.14,0.0,4.16,37.91,0.63,5.95,6.97,2.09,"Antipolo"
"2025-02-01 00:00:06+08:00",1.0,257.02,0.0,1.1,50.07,4.23,5.61,6.08,0.27,"Bacolod"
"2025-02-01 00:00:08+08:00",2.0,827.79,0.0,31.87,36.84,20.5,23.25,38.94,8.11,"Bacoor"
"2025-02-01 00:00:11+08:00",1.0,236.99,0.0,2.01,47.92,1.65,2.61,3.64,0.64,"Bago City"
"2025-02-01 00:00:13+08:00",2.0,447.27,0.0,6.6,21.46,2.03,11.93,13.52,4.94,"Baguio"
"2025-02-01 00:00:15+08:00",1.0,216.96,0.0,1.56,39.34,0.66,2.16,3.04,0.8,"Bais"
"2025-02-01 00:00:18+08:00",1.0,383.85,0.0,5.91,55.08,2.77,6.92,10.83,1.6,"Balanga"
"2025-02-01 00:00:20+08:00",1.0,303.75,0.0,2.59,52.93,0.56,4.6,5.23,1.85,"Batac City"
"2025-02-01 00:00:22+08:00",1.0,307.08,0.0,10.97,41.84,8.11,8.38,10.3,1.5,"Batangas City"
"2025-02-01 00:00:24+08:00",1.0,223.64,0.0,1.71,41.49,0.55,1.94,2.53,1.14,"Bayawan"
"2025-02-01 00:00:26+08:00",2.0,240.33,0.0,0.51,74.39,5.84,3.67,4.12,0.0,"Baybay"
"2025-02-01 00:00:28+08:00",1.0,210.29,0.02,2.4,11.0,0.63,3.92,5.34,0.61,"Bayugan"
"2025-02-01 00:00:30+08:00",1.0,230.31,0.0,2.79,27.9,0.57,3.44,8.45,0.83,"Bislig"
