"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","city_name"
"2025-06-01 00:00:00+08:00",1.0,106.22,0.0,0.32,28.76,0.15,1.28,3.24,0.01,"Alaminos"
"2025-06-01 00:00:02+08:00",1.0,103.43,0.0,0.34,29.62,0.11,1.16,2.43,0.05,"Angeles City"
"2025-06-01 00:00:04+08:00",1.0,224.34,0.63,4.56,21.77,1.15,4.25,6.34,3.9,"Antipolo"
"2025-06-01 00:00:06+08:00",2.0,602.14,1.75,12.64,3.11,1.75,22.85,25.71,16.17,"Bacolod"
"2025-06-01 00:00:08+08:00",1.0,113.23,0.0,0.62,30.91,0.13,0.97,1.38,0.51,"Bacoor"
"2025-06-01 00:00:11+08:00",1.0,110.61,0.0,0.46,28.86,0.16,1.55,2.19,1.06,"Bago City"
"2025-06-01 00:00:13+08:00",1.0,111.65,0.0,1.05,24.07,0.36,1.39,2.94,0.56,"Baguio"
"2025-06-01 00:00:15+08:00",1.0,127.6,0.0,0.47,29.76,0.09,4.06,4.67,1.52,"Bais"
"2025-06-01 00:00:19+08:00",1.0,104.66,0.0,0.38,30.27,0.1,1.13,2.24,0.06,"Balanga"
"2025-06-01 00:00:20+08:00",1.0,122.22,0.0,2.21,27.58,1.03,2.42,5.0,0.29,"Batac City"
"2025-06-01 00:00:22+08:00",1.0,126.75,0.0,1.48,32.13,0.2,1.25,1.5,1.01,"Batangas City"
"2025-06-01 00:00:24+08:00",1.0,155.07,0.07,1.19,22.76,0.16,4.92,5.73,2.65,"Bayawan"
"2025-06-01 00:00:25+08:00",1.0,140.98,0.0,0.87,32.01,0.24,3.27,3.77,1.49,"Baybay"
"2025-06-01 00:00:27+08:00",2.0,555.46,5.51,7.59,0.02,1.49,23.26,25.1,43.34,"Bayugan"
"2025-06-01 00:00:30+08:00",2.0,377.75,0.0,11.4,37.77,2.42,18.96,20.24,14.5,"Bislig"
"2025-06-01 00:00:32+08:00",1.0,117.99,0.0,0.67,31.37,0.08,0.87,1.04,0.61,"Biñan"
"2025-06-01 00:00:34+08:00",1.0,279.25,0.37,6.52,16.68,1.39,9.57,11.31,12.05,"Bogo"
"2025-06-01 00:00:36+08:00",3.0,569.99,0.0,17.31,31.66,2.75,29.11,30.14,18.32,"Borongan"
"2025-06-01 00:00:38+08:00",2.0,571.18,5.95,10.69,0.0,2.15,22.91,25.32,73.39,"Butuan"
"2025-06-01 00:00:39+08:00",2.0,532.52,4.39,10.84,0.54,1.88,20.74,23.3,57.03,"Cabadbaran"
"2025-06-01 00:00:41+08:00",1.0,106.9,0.0,0.99,28.51,0.44,1.12,2.08,0.27,"Cabanatuan City"
"2025-06-01 00:00:44+08:00",1.0,117.99,0.0,0.67,31.37,0.08,0.87,1.04,0.61,"Cabuyao"
"2025-06-01 00:00:46+08:00",1.0,222.52,0.36,3.19,19.14,0.43,6.77,7.83,5.01,"Cadiz"
"2025-06-01 00:00:47+08:00",3.0,487.4,0.59,9.16,16.02,0.83,25.37,26.55,24.09,"Cagayan de Oro"
"2025-06-01 00:00:49+08:00",1.0,117.59,0.0,0.99,31.52,0.13,1.08,1.41,0.52,"Calaca"
"2025-06-01 00:00:51+08:00",1.0,117.99,0.0,0.67,31.37,0.08,0.87,1.04,0.61,"Calamba"
"2025-06-01 00:00:54+08:00",1.0,123.54,0.0,1.22,32.07,0.18,1.31,1.61,0.75,"Calapan"
"2025-06-01 00:00:56+08:00",2.0,267.22,0.0,5.73,49.8,3.01,19.21,20.67,16.77,"Calbayog City"
"2025-06-01 00:00:57+08:00",1.0,113.7,0.0,0.69,30.32,0.18,1.02,1.56,0.67,"Caloocan City"
