"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-09-01 00:00:00+08:00",2.0,453.95,0.01,16.79,16.63,8.23,14.28,15.13,5.76,119.9811,16.1561,"2024-09-01 00:00:01.037075+08:00","Alaminos"
"2024-09-01 00:00:02+08:00",4.0,881.2,0.0,16.45,77.25,7.39,67.68,71.39,14.95,120.5833,15.15,"2024-09-01 00:00:02.871778+08:00","Angeles City"
"2024-09-01 00:00:04+08:00",3.0,881.2,0.01,20.56,17.52,4.47,33.34,36.58,23.05,121.19,15.6181,"2024-09-01 00:00:04.945631+08:00","Antipolo"
"2024-09-01 00:00:07+08:00",1.0,383.85,0.0,2.96,23.6,0.53,6.92,7.36,5.07,123.5085,12.2285,"2024-09-01 00:00:07.208187+08:00","Bacolod"
"2024-09-01 00:00:08+08:00",4.0,1281.74,0.0,40.78,25.03,19.07,52.61,62.19,5.45,120.929,14.459000000000001,"2024-09-01 00:00:08.841917+08:00","Bacoor"
"2024-09-01 00:00:10+08:00",1.0,277.04,0.01,1.39,10.91,0.34,1.41,1.91,0.98,122.8333,10.5333,"2024-09-01 00:00:10.901127+08:00","Bago City"
"2024-09-01 00:00:12+08:00",2.0,507.36,0.0,4.88,18.24,1.1,15.9,17.02,2.98,120.5931,16.4164,"2024-09-01 00:00:12.583262+08:00","Baguio"
"2024-09-01 00:00:14+08:00",1.0,313.76,0.06,2.79,6.71,0.35,4.56,5.34,3.23,123.1228,9.5911,"2024-09-01 00:00:14.431740+08:00","Bais"
"2024-09-01 00:00:16+08:00",3.0,707.63,0.0,9.0,42.56,2.86,39.24,44.17,2.63,120.5361,14.6761,"2024-09-01 00:00:16.741644+08:00","Balanga"
"2024-09-01 00:00:18+08:00",1.0,370.5,0.0,2.79,43.99,0.46,7.92,8.28,0.71,120.5649,18.0554,"2024-09-01 00:00:18.327353+08:00","Batac City"
"2024-09-01 00:00:19+08:00",2.0,620.84,0.99,21.42,2.77,7.03,15.1,20.06,11.65,121.05,13.75,"2024-09-01 00:00:19.856137+08:00","Batangas City"
"2024-09-01 00:00:22+08:00",1.0,273.71,0.02,1.46,11.09,0.25,1.95,2.14,1.65,122.8011,9.3636,"2024-09-01 00:00:22.175610+08:00","Bayawan"
"2024-09-01 00:00:23+08:00",2.0,330.45,0.0,1.27,37.91,18.36,22.5,22.68,0.0,123.7135,13.4083,"2024-09-01 00:00:23.890469+08:00","Baybay"
"2024-09-01 00:00:26+08:00",1.0,327.11,0.03,3.3,6.08,0.66,5.68,6.36,1.58,125.7675,8.7561,"2024-09-01 00:00:26.645964+08:00","Bayugan"
"2024-09-01 00:00:28+08:00",1.0,390.53,0.0,3.56,27.9,0.79,5.39,5.95,1.35,125.0336,11.0725,"2024-09-01 00:00:28.845088+08:00","Bislig"
"2024-09-01 00:00:31+08:00",5.0,2243.04,8.94,71.29,0.0,33.38,94.74,109.31,8.87,121.0807,14.3427,"2024-09-01 00:00:31.173442+08:00","Biñan"
"2024-09-01 00:00:33+08:00",1.0,333.79,0.0,3.34,39.34,1.27,3.74,4.19,0.97,124.0055,11.0517,"2024-09-01 00:00:33.326666+08:00","Bogo"
"2024-09-01 00:00:34+08:00",1.0,283.72,0.02,1.74,3.93,1.42,7.68,8.0,0.33,125.4319,11.6081,"2024-09-01 00:00:34.644383+08:00","Borongan"
"2024-09-01 00:00:36+08:00",1.0,287.06,0.0,1.25,32.19,0.23,2.03,2.14,0.57,125.5436,8.9492,"2024-09-01 00:00:37.057575+08:00","Butuan"
"2024-09-01 00:00:38+08:00",1.0,277.04,0.0,0.54,34.33,0.1,1.19,1.21,0.04,125.5344,9.1236,"2024-09-01 00:00:38.519964+08:00","Cabadbaran"
"2024-09-01 00:00:39+08:00",4.0,1014.71,0.04,14.91,15.02,1.88,65.5,68.13,4.62,120.9667,15.4833,"2024-09-01 00:00:39.774080+08:00","Cabanatuan City"
"2024-09-01 00:00:41+08:00",5.0,2243.04,8.94,71.29,0.0,33.38,94.74,109.31,8.87,121.1262,14.2726,"2024-09-01 00:00:41.217874+08:00","Cabuyao"
"2024-09-01 00:00:43+08:00",1.0,320.44,0.0,2.72,17.35,0.94,2.99,3.48,0.82,123.2856,10.9506,"2024-09-01 00:00:43.335186+08:00","Cadiz"
"2024-09-01 00:00:45+08:00",1.0,350.48,0.0,3.0,28.61,0.91,4.91,5.42,1.5,124.6472,8.4822,"2024-09-01 00:00:45.494600+08:00","Cagayan de Oro"
"2024-09-01 00:00:47+08:00",2.0,707.63,0.03,16.11,8.94,2.8,21.3,28.13,3.99,120.8133,13.9324,"2024-09-01 00:00:47.344057+08:00","Calaca"
"2024-09-01 00:00:49+08:00",5.0,2243.04,8.94,71.29,0.0,33.38,94.74,109.31,8.87,121.1653,14.2117,"2024-09-01 00:00:49.361331+08:00","Calamba"
"2024-09-01 00:00:50+08:00",1.0,327.11,0.0,4.93,42.56,3.55,5.33,6.13,0.36,121.1803,13.4117,"2024-09-01 00:00:50.612250+08:00","Calapan"
"2024-09-01 00:00:52+08:00",2.0,330.45,0.01,2.19,8.32,9.42,15.43,16.08,1.68,124.6,12.0667,"2024-09-01 00:00:52.667320+08:00","Calbayog City"
"2024-09-01 00:00:55+08:00",5.0,1762.39,0.0,41.47,26.46,19.07,115.78,131.89,15.71,120.9667,14.65,"2024-09-01 00:00:55.249389+08:00","Caloocan City"
"2024-09-01 00:00:57+08:00",1.0,373.84,0.0,1.36,44.7,0.29,7.1,7.27,1.3,120.4517,17.1947,"2024-09-01 00:00:57.309346+08:00","Candon"
"2024-09-01 00:00:59+08:00",1.0,473.98,0.2,9.6,7.96,1.77,9.94,11.07,12.79,123.1964,10.3864,"2024-09-01 00:00:59.220639+08:00","Canlaon"
"2024-09-01 00:01:01+08:00",1.0,367.17,0.0,5.44,23.25,2.35,7.17,11.42,10.51,123.6402,10.1061,"2024-09-01 00:01:01.264859+08:00","Carcar"
