"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-02-01 00:00:00+08:00",2.0,397.21,0.0,3.47,70.81,0.98,12.72,17.01,3.14,119.9811,16.1561,"2024-02-01 00:00:00.850427+08:00","Alaminos"
"2024-02-01 00:00:03+08:00",1.0,403.88,0.0,7.71,53.64,2.5,7.23,10.33,2.82,120.5833,15.15,"2024-02-01 00:00:03.772876+08:00","Angeles City"
"2024-02-01 00:00:09+08:00",1.0,313.76,0.0,2.44,58.65,0.44,4.38,5.84,1.66,121.19,15.6181,"2024-02-01 00:00:10.951574+08:00","Antipolo"
"2024-02-01 00:00:13+08:00",2.0,236.99,0.0,0.68,82.25,2.44,1.78,3.48,0.26,123.5085,12.2285,"2024-02-01 00:00:13.993543+08:00","Bacolod"
"2024-02-01 00:00:15+08:00",2.0,847.82,0.0,31.19,42.92,20.03,19.3,33.74,9.5,120.929,14.459000000000001,"2024-02-01 00:00:16.081324+08:00","Bacoor"
"2024-02-01 00:00:17+08:00",2.0,250.34,0.0,1.15,79.39,0.98,1.43,2.5,0.64,122.8333,10.5333,"2024-02-01 00:00:17.858508+08:00","Bago City"
"2024-02-01 00:00:20+08:00",2.0,574.11,0.0,9.43,39.7,2.95,22.97,27.01,5.57,120.5931,16.4164,"2024-02-01 00:00:20.469237+08:00","Baguio"
"2024-02-01 00:00:22+08:00",2.0,247.0,0.0,0.89,73.67,0.5,0.92,1.68,0.54,123.1228,9.5911,"2024-02-01 00:00:22.348295+08:00","Bais"
"2024-02-01 00:00:24+08:00",2.0,320.44,0.0,2.91,74.39,1.52,3.84,6.66,1.69,120.5361,14.6761,"2024-02-01 00:00:24.420761+08:00","Balanga"
"2024-02-01 00:00:27+08:00",1.0,410.56,0.0,5.4,55.08,1.18,9.7,12.56,3.42,120.5649,18.0554,"2024-02-01 00:00:27.301844+08:00","Batac City"
"2024-02-01 00:00:29+08:00",2.0,283.72,0.0,10.28,65.8,8.7,4.44,9.01,1.73,121.05,13.75,"2024-02-01 00:00:29.404099+08:00","Batangas City"
"2024-02-01 00:00:31+08:00",2.0,253.68,0.0,0.93,73.67,0.44,0.94,1.56,0.82,122.8011,9.3636,"2024-02-01 00:00:32.152818+08:00","Bayawan"
"2024-02-01 00:00:34+08:00",2.0,260.35,0.0,0.34,84.4,4.29,2.32,3.61,0.11,123.7135,13.4083,"2024-02-01 00:00:34.527018+08:00","Baybay"
"2024-02-01 00:00:37+08:00",1.0,287.06,0.07,3.43,3.26,0.59,5.03,6.03,1.16,125.7675,8.7561,"2024-02-01 00:00:37.605507+08:00","Bayugan"
"2024-02-01 00:00:39+08:00",2.0,267.03,0.0,2.12,72.96,0.54,2.52,5.67,0.95,125.0336,11.0725,"2024-02-01 00:00:39.440332+08:00","Bislig"
"2024-02-01 00:00:41+08:00",2.0,337.12,0.0,10.28,70.81,13.35,5.24,11.2,2.6,121.0807,14.3427,"2024-02-01 00:00:41.711602+08:00","Biñan"
"2024-02-01 00:00:42+08:00",2.0,236.99,0.0,0.84,80.82,0.37,2.36,5.69,0.36,124.0055,11.0517,"2024-02-01 00:00:43.108066+08:00","Bogo"
"2024-02-01 00:00:44+08:00",2.0,230.31,0.0,0.4,80.11,0.29,2.94,8.94,0.05,125.4319,11.6081,"2024-02-01 00:00:45.013100+08:00","Borongan"
