"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-11-01 00:00:01+08:00",2.0,273.71,0.0,1.5,62.94,0.29,4.31,4.73,0.89,119.9811,16.1561,"2024-11-01 00:00:01.399406+08:00","Alaminos"
"2024-11-01 00:00:02+08:00",2.0,494.0,0.02,4.76,16.27,0.85,12.39,14.45,3.42,120.5833,15.15,"2024-11-01 00:00:02.855243+08:00","Angeles City"
"2024-11-01 00:00:05+08:00",2.0,674.25,0.01,12.51,18.77,1.97,14.81,17.25,2.25,121.19,15.6181,"2024-11-01 00:00:05.477496+08:00","Antipolo"
"2024-11-01 00:00:07+08:00",1.0,383.85,0.0,1.06,46.49,0.25,2.1,2.46,0.69,123.5085,12.2285,"2024-11-01 00:00:07.813570+08:00","Bacolod"
"2024-11-01 00:00:09+08:00",2.0,387.19,0.0,2.79,67.95,1.55,2.5,5.89,0.31,120.929,14.459000000000001,"2024-11-01 00:00:09.676535+08:00","Bacoor"
"2024-11-01 00:00:11+08:00",1.0,390.53,0.0,0.95,59.37,0.24,2.04,2.5,0.64,122.8333,10.5333,"2024-11-01 00:00:11.813027+08:00","Bago City"
"2024-11-01 00:00:14+08:00",1.0,340.46,0.0,7.03,38.27,3.87,6.84,8.45,1.0,120.5931,16.4164,"2024-11-01 00:00:14.445957+08:00","Baguio"
"2024-11-01 00:00:16+08:00",1.0,473.98,0.04,5.57,9.57,0.83,9.93,12.49,7.28,123.1228,9.5911,"2024-11-01 00:00:16.852278+08:00","Bais"
"2024-11-01 00:00:18+08:00",1.0,413.9,0.0,2.87,55.79,0.64,3.39,3.97,1.0,120.5361,14.6761,"2024-11-01 00:00:18.610330+08:00","Balanga"
"2024-11-01 00:00:20+08:00",2.0,253.68,0.0,0.62,88.69,0.89,7.33,12.81,0.0,120.5649,18.0554,"2024-11-01 00:00:20.164747+08:00","Batac City"
"2024-11-01 00:00:22+08:00",1.0,494.0,0.0,12.68,32.54,5.9,6.32,7.83,4.37,121.05,13.75,"2024-11-01 00:00:22.871031+08:00","Batangas City"
"2024-11-01 00:00:24+08:00",1.0,467.3,0.0,7.11,41.84,1.37,5.31,6.26,9.63,122.8011,9.3636,"2024-11-01 00:00:24.702430+08:00","Bayawan"
"2024-11-01 00:00:26+08:00",1.0,387.19,0.0,1.8,50.78,10.01,5.41,5.77,0.24,123.7135,13.4083,"2024-11-01 00:00:26.333310+08:00","Baybay"
"2024-11-01 00:00:28+08:00",1.0,327.11,0.03,4.03,4.2,0.84,6.69,8.46,0.86,125.7675,8.7561,"2024-11-01 00:00:29.042592+08:00","Bayugan"
"2024-11-01 00:00:31+08:00",1.0,390.53,0.0,4.11,35.05,0.78,3.64,4.35,1.5,125.0336,11.0725,"2024-11-01 00:00:31.718043+08:00","Bislig"
"2024-11-01 00:00:33+08:00",2.0,754.36,0.02,18.34,28.97,7.75,12.84,16.71,5.57,121.0807,14.3427,"2024-11-01 00:00:33.123118+08:00","Biñan"
"2024-11-01 00:00:34+08:00",1.0,407.22,0.0,4.63,40.77,2.56,4.56,5.71,2.12,124.0055,11.0517,"2024-11-01 00:00:34.437736+08:00","Bogo"
"2024-11-01 00:00:36+08:00",1.0,310.42,0.0,1.3,27.54,0.29,2.11,2.79,0.2,125.4319,11.6081,"2024-11-01 00:00:36.544067+08:00","Borongan"
"2024-11-01 00:00:38+08:00",1.0,350.48,0.0,2.55,17.52,0.63,4.54,5.33,0.88,125.5436,8.9492,"2024-11-01 00:00:38.412837+08:00","Butuan"
"2024-11-01 00:00:39+08:00",1.0,367.17,0.0,3.56,21.46,0.74,4.36,5.06,1.06,125.5344,9.1236,"2024-11-01 00:00:39.665836+08:00","Cabadbaran"
"2024-11-01 00:00:40+08:00",2.0,707.63,0.01,12.68,19.67,2.18,15.68,19.78,2.38,120.9667,15.4833,"2024-11-01 00:00:41.002799+08:00","Cabanatuan City"
"2024-11-01 00:00:42+08:00",2.0,754.36,0.02,18.34,28.97,7.75,12.84,16.71,5.57,121.1262,14.2726,"2024-11-01 00:00:42.755588+08:00","Cabuyao"
"2024-11-01 00:00:44+08:00",1.0,507.36,0.0,5.74,37.55,1.3,6.89,8.69,2.5,123.2856,10.9506,"2024-11-01 00:00:44.747139+08:00","Cadiz"
"2024-11-01 00:00:46+08:00",2.0,674.25,0.0,17.99,28.61,5.19,12.03,15.0,10.13,124.6472,8.4822,"2024-11-01 00:00:46.600277+08:00","Cagayan de Oro"
"2024-11-01 00:00:48+08:00",1.0,420.57,0.0,1.97,44.7,0.59,5.18,6.09,1.38,120.8133,13.9324,"2024-11-01 00:00:48.641020+08:00","Calaca"
"2024-11-01 00:00:50+08:00",2.0,754.36,0.02,18.34,28.97,7.75,12.84,16.71,5.57,121.1653,14.2117,"2024-11-01 00:00:50.270055+08:00","Calamba"
"2024-11-01 00:00:51+08:00",1.0,403.88,0.0,6.6,46.49,4.35,4.33,5.43,0.19,121.1803,13.4117,"2024-11-01 00:00:51.683204+08:00","Calapan"
"2024-11-01 00:00:52+08:00",1.0,347.14,0.0,1.59,26.11,3.19,2.95,3.43,0.52,124.6,12.0667,"2024-11-01 00:00:52.977491+08:00","Calbayog City"
"2024-11-01 00:00:55+08:00",2.0,440.6,0.0,8.23,60.08,2.62,3.79,10.54,1.96,120.9667,14.65,"2024-11-01 00:00:55.494014+08:00","Caloocan City"
"2024-11-01 00:00:57+08:00",2.0,287.06,0.0,4.03,62.94,2.35,6.77,7.59,0.13,120.4517,17.1947,"2024-11-01 00:00:57.836724+08:00","Candon"
"2024-11-01 00:00:59+08:00",1.0,554.09,0.01,7.11,23.96,1.33,9.66,11.04,7.6,123.1964,10.3864,"2024-11-01 00:00:59.744167+08:00","Canlaon"
"2024-11-01 00:01:02+08:00",1.0,407.22,0.0,3.77,30.04,1.79,4.1,8.08,5.32,123.6402,10.1061,"2024-11-01 00:01:02.097799+08:00","Carcar"
"2024-11-01 00:01:03+08:00",2.0,754.36,0.02,18.34,28.97,7.75,12.84,16.71,5.57,121.0576,14.3132,"2024-11-01 00:01:03.929220+08:00","Carmona"
"2024-11-01 00:01:06+08:00",1.0,347.14,0.0,1.34,30.76,0.32,2.37,2.88,0.86,124.8861,11.7753,"2024-11-01 00:01:06.370183+08:00","Catbalogan"
