"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-07-01 00:00:00+08:00",1.0,327.11,0.0,2.61,41.49,0.66,5.17,5.76,3.83,119.9811,16.1561,"2024-07-01 00:00:00.867371+08:00","Alaminos"
"2024-07-01 00:00:02+08:00",3.0,741.01,0.01,21.42,16.27,5.31,30.45,34.31,15.33,120.5833,15.15,"2024-07-01 00:00:02.530158+08:00","Angeles City"
"2024-07-01 00:00:04+08:00",2.0,727.65,0.69,18.68,1.79,3.82,22.02,25.99,19.51,121.19,15.6181,"2024-07-01 00:00:04.632242+08:00","Antipolo"
"2024-07-01 00:00:06+08:00",1.0,233.65,0.0,4.71,16.45,3.01,5.27,5.71,5.19,123.5085,12.2285,"2024-07-01 00:00:06.993643+08:00","Bacolod"
"2024-07-01 00:00:08+08:00",3.0,1201.63,3.86,51.41,0.41,21.94,41.56,51.37,7.28,120.929,14.459000000000001,"2024-07-01 00:00:08.724593+08:00","Bacoor"
"2024-07-01 00:00:09+08:00",1.0,247.0,0.0,4.03,27.18,1.01,3.91,4.96,1.84,122.8333,10.5333,"2024-07-01 00:00:10.028556+08:00","Bago City"
"2024-07-01 00:00:11+08:00",2.0,473.98,0.01,6.86,10.64,2.06,12.85,14.68,3.1,120.5931,16.4164,"2024-07-01 00:00:12.213265+08:00","Baguio"
"2024-07-01 00:00:13+08:00",2.0,317.1,0.01,4.46,17.35,0.68,11.73,13.55,7.09,123.1228,9.5911,"2024-07-01 00:00:14.142223+08:00","Bais"
"2024-07-01 00:00:16+08:00",2.0,680.92,0.16,14.05,8.23,3.07,22.99,27.78,4.31,120.5361,14.6761,"2024-07-01 00:00:16.362853+08:00","Balanga"
"2024-07-01 00:00:18+08:00",2.0,307.08,0.0,1.91,55.08,0.66,10.33,10.9,2.0,120.5649,18.0554,"2024-07-01 00:00:18.873895+08:00","Batac City"
"2024-07-01 00:00:20+08:00",2.0,560.76,0.0,36.33,24.32,18.6,19.9,23.08,17.99,121.05,13.75,"2024-07-01 00:00:20.905134+08:00","Batangas City"
"2024-07-01 00:00:22+08:00",2.0,307.08,0.0,5.31,42.2,0.98,11.2,11.68,6.52,122.8011,9.3636,"2024-07-01 00:00:22.518466+08:00","Bayawan"
"2024-07-01 00:00:23+08:00",1.0,168.56,0.0,0.88,25.75,14.07,4.56,4.75,0.0,123.7135,13.4083,"2024-07-01 00:00:24.072138+08:00","Baybay"
"2024-07-01 00:00:25+08:00",1.0,208.62,0.03,2.53,3.13,0.71,2.74,3.32,0.84,125.7675,8.7561,"2024-07-01 00:00:26.060146+08:00","Bayugan"
"2024-07-01 00:00:27+08:00",1.0,236.99,0.0,4.24,20.74,0.68,1.81,2.37,2.03,125.0336,11.0725,"2024-07-01 00:00:27.849961+08:00","Bislig"
"2024-07-01 00:00:30+08:00",3.0,1468.66,10.28,37.36,0.05,21.46,48.06,55.26,8.49,121.0807,14.3427,"2024-07-01 00:00:30.308695+08:00","Biñan"
"2024-07-01 00:00:32+08:00",2.0,243.66,0.0,6.08,34.33,3.93,10.35,10.81,1.98,124.0055,11.0517,"2024-07-01 00:00:32.719074+08:00","Bogo"
"2024-07-01 00:00:34+08:00",1.0,176.91,0.05,2.23,5.1,0.35,1.23,1.87,0.45,125.4319,11.6081,"2024-07-01 00:00:34.732505+08:00","Borongan"
"2024-07-01 00:00:36+08:00",1.0,216.96,0.01,2.34,5.99,0.44,2.38,2.86,0.9,125.5436,8.9492,"2024-07-01 00:00:36.981254+08:00","Butuan"
"2024-07-01 00:00:38+08:00",1.0,208.62,0.0,1.69,9.92,0.37,1.57,1.86,0.59,125.5344,9.1236,"2024-07-01 00:00:38.307904+08:00","Cabadbaran"
"2024-07-01 00:00:40+08:00",2.0,767.71,0.39,14.22,4.92,1.83,24.84,27.8,4.94,120.9667,15.4833,"2024-07-01 00:00:40.457181+08:00","Cabanatuan City"
"2024-07-01 00:00:42+08:00",3.0,1468.66,10.28,37.36,0.05,21.46,48.06,55.26,8.49,121.1262,14.2726,"2024-07-01 00:00:43.102845+08:00","Cabuyao"
"2024-07-01 00:00:45+08:00",1.0,277.04,0.0,4.24,22.89,1.3,4.85,5.65,1.46,123.2856,10.9506,"2024-07-01 00:00:45.773796+08:00","Cadiz"
"2024-07-01 00:00:47+08:00",2.0,460.63,0.0,10.8,8.76,2.0,11.03,13.51,5.13,124.6472,8.4822,"2024-07-01 00:00:47.665919+08:00","Cagayan de Oro"
