"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-08-01 00:00:00+08:00",1.0,453.95,0.01,8.74,18.77,1.94,9.39,11.49,12.03,119.9811,16.1561,"2024-08-01 00:00:00.699792+08:00","Alaminos"
"2024-08-01 00:00:02+08:00",3.0,827.79,0.04,20.56,9.21,6.02,28.39,33.32,28.88,120.5833,15.15,"2024-08-01 00:00:02.205101+08:00","Angeles City"
"2024-08-01 00:00:03+08:00",3.0,1094.82,0.24,30.85,4.83,6.56,45.25,50.09,25.84,121.19,15.6181,"2024-08-01 00:00:03.939679+08:00","Antipolo"
"2024-08-01 00:00:06+08:00",1.0,333.79,0.03,2.91,10.46,0.44,7.09,7.97,3.1,123.5085,12.2285,"2024-08-01 00:00:06.123920+08:00","Bacolod"
"2024-08-01 00:00:08+08:00",3.0,988.01,0.0,32.56,11.36,8.7,25.51,48.24,7.16,120.929,14.459000000000001,"2024-08-01 00:00:08.264440+08:00","Bacoor"
"2024-08-01 00:00:09+08:00",1.0,320.44,0.0,2.64,31.47,0.6,4.54,5.34,1.93,122.8333,10.5333,"2024-08-01 00:00:09.968446+08:00","Bago City"
"2024-08-01 00:00:11+08:00",2.0,447.27,0.02,6.43,11.18,1.68,13.27,14.8,4.62,120.5931,16.4164,"2024-08-01 00:00:11.587228+08:00","Baguio"
"2024-08-01 00:00:13+08:00",2.0,460.63,0.0,5.1,17.17,1.43,17.67,20.56,14.44,123.1228,9.5911,"2024-08-01 00:00:13.243128+08:00","Bais"
"2024-08-01 00:00:14+08:00",2.0,814.44,5.2,28.45,0.1,8.94,19.93,23.36,18.49,120.5361,14.6761,"2024-08-01 00:00:14.832360+08:00","Balanga"
"2024-08-01 00:00:16+08:00",1.0,243.66,0.0,0.51,36.84,0.1,1.05,1.17,0.18,120.5649,18.0554,"2024-08-01 00:00:16.937959+08:00","Batac City"
"2024-08-01 00:00:19+08:00",2.0,433.92,0.14,16.97,12.16,8.58,10.56,13.94,8.74,121.05,13.75,"2024-08-01 00:00:19.461076+08:00","Batangas City"
"2024-08-01 00:00:21+08:00",2.0,380.52,0.01,4.33,14.84,0.92,11.53,12.69,4.94,122.8011,9.3636,"2024-08-01 00:00:21.358031+08:00","Bayawan"
"2024-08-01 00:00:23+08:00",2.0,283.72,0.0,1.22,45.42,22.89,17.14,17.44,0.0,123.7135,13.4083,"2024-08-01 00:00:23.245315+08:00","Baybay"
"2024-08-01 00:00:24+08:00",1.0,330.45,0.16,3.38,1.08,0.6,8.79,9.94,1.39,125.7675,8.7561,"2024-08-01 00:00:25.077119+08:00","Bayugan"
"2024-08-01 00:00:27+08:00",3.0,821.11,0.06,21.59,6.08,2.38,26.76,30.34,3.45,125.0336,11.0725,"2024-08-01 00:00:27.353023+08:00","Bislig"
"2024-08-01 00:00:28+08:00",3.0,1575.47,34.42,15.42,0.0,12.64,34.14,45.69,8.74,121.0807,14.3427,"2024-08-01 00:00:28.842226+08:00","Biñan"
"2024-08-01 00:00:30+08:00",1.0,300.41,0.0,6.17,29.68,2.27,4.72,5.64,2.44,124.0055,11.0517,"2024-08-01 00:00:30.168698+08:00","Bogo"
"2024-08-01 00:00:32+08:00",1.0,283.72,0.05,2.96,4.07,1.09,9.74,10.49,0.8,125.4319,11.6081,"2024-08-01 00:00:32.315922+08:00","Borongan"
"2024-08-01 00:00:34+08:00",1.0,320.44,0.0,2.21,20.03,0.44,5.47,5.9,1.16,125.5436,8.9492,"2024-08-01 00:00:34.549738+08:00","Butuan"
"2024-08-01 00:00:36+08:00",1.0,317.1,0.0,1.8,37.55,0.34,4.03,4.18,0.56,125.5344,9.1236,"2024-08-01 00:00:36.520582+08:00","Cabadbaran"
"2024-08-01 00:00:38+08:00",4.0,1348.5,2.99,26.05,0.27,5.01,71.4,75.31,16.97,120.9667,15.4833,"2024-08-01 00:00:38.510160+08:00","Cabanatuan City"
"2024-08-01 00:00:40+08:00",3.0,1575.47,34.42,15.42,0.0,12.64,34.14,45.69,8.74,121.1262,14.2726,"2024-08-01 00:00:40.709568+08:00","Cabuyao"
"2024-08-01 00:00:41+08:00",2.0,460.63,0.0,7.11,43.99,3.76,14.43,16.51,3.52,123.2856,10.9506,"2024-08-01 00:00:42.065712+08:00","Cadiz"
"2024-08-01 00:00:43+08:00",2.0,520.71,0.0,10.8,14.31,2.8,15.46,17.03,3.45,124.6472,8.4822,"2024-08-01 00:00:43.767140+08:00","Cagayan de Oro"
"2024-08-01 00:00:46+08:00",1.0,377.18,0.04,5.57,14.48,0.97,8.61,13.53,2.53,120.8133,13.9324,"2024-08-01 00:00:46.401651+08:00","Calaca"
"2024-08-01 00:00:48+08:00",3.0,1575.47,34.42,15.42,0.0,12.64,34.14,45.69,8.74,121.1653,14.2117,"2024-08-01 00:00:48.563743+08:00","Calamba"
"2024-08-01 00:00:50+08:00",1.0,250.34,0.0,3.56,31.11,2.89,3.29,4.35,0.21,121.1803,13.4117,"2024-08-01 00:00:50.464482+08:00","Calapan"
"2024-08-01 00:00:51+08:00",2.0,333.79,0.05,3.17,3.67,6.2,21.44,23.25,1.95,124.6,12.0667,"2024-08-01 00:00:51.971404+08:00","Calbayog City"
"2024-08-01 00:00:54+08:00",4.0,1321.79,0.08,30.85,11.36,8.35,57.3,73.72,11.65,120.9667,14.65,"2024-08-01 00:00:54.570199+08:00","Caloocan City"
"2024-08-01 00:00:56+08:00",1.0,287.06,0.0,1.91,45.78,0.66,5.66,6.13,2.19,120.4517,17.1947,"2024-08-01 00:00:56.450254+08:00","Candon"
"2024-08-01 00:00:58+08:00",2.0,587.46,0.15,10.8,9.12,1.48,18.45,20.0,7.41,123.1964,10.3864,"2024-08-01 00:00:59.067242+08:00","Canlaon"
"2024-08-01 00:01:01+08:00",2.0,407.22,0.0,5.74,42.56,3.43,22.64,30.09,10.01,123.6402,10.1061,"2024-08-01 00:01:01.265513+08:00","Carcar"
"2024-08-01 00:01:03+08:00",3.0,1575.47,34.42,15.42,0.0,12.64,34.14,45.69,8.74,121.0576,14.3132,"2024-08-01 00:01:03.395056+08:00","Carmona"
"2024-08-01 00:01:05+08:00",2.0,357.15,0.0,3.09,11.98,1.43,11.57,12.58,2.72,124.8861,11.7753,"2024-08-01 00:01:05.974613+08:00","Catbalogan"
