"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-04-01 00:00:00+08:00",2.0,353.81,0.0,3.26,65.8,1.7,21.75,29.62,4.5,119.9811,16.1561,"2024-04-01 00:00:00.646637+08:00","Alaminos"
"2024-04-01 00:00:02+08:00",3.0,554.09,0.0,7.2,42.56,2.15,38.52,44.93,8.04,120.5833,15.15,"2024-04-01 00:00:02.461499+08:00","Angeles City"
"2024-04-01 00:00:04+08:00",2.0,787.74,0.07,21.76,9.66,4.77,19.29,25.61,23.31,121.19,15.6181,"2024-04-01 00:00:04.623583+08:00","Antipolo"
"2024-04-01 00:00:06+08:00",1.0,203.61,0.0,0.8,27.9,5.66,3.97,5.71,0.19,123.5085,12.2285,"2024-04-01 00:00:07.193466+08:00","Bacolod"
"2024-04-01 00:00:09+08:00",2.0,654.22,0.0,23.31,19.49,18.36,13.37,25.14,7.22,120.929,14.459000000000001,"2024-04-01 00:00:09.867537+08:00","Bacoor"
"2024-04-01 00:00:11+08:00",1.0,236.99,0.0,2.66,32.9,1.64,3.16,4.61,1.55,122.8333,10.5333,"2024-04-01 00:00:12.128215+08:00","Bago City"
"2024-04-01 00:00:14+08:00",2.0,340.46,0.0,4.11,52.21,1.57,17.1,20.27,3.93,120.5931,16.4164,"2024-04-01 00:00:14.835133+08:00","Baguio"
"2024-04-01 00:00:17+08:00",1.0,206.95,0.0,0.98,25.03,0.26,0.93,1.4,0.9,123.1228,9.5911,"2024-04-01 00:00:17.365216+08:00","Bais"
"2024-04-01 00:00:19+08:00",3.0,734.33,0.0,18.68,38.98,6.44,34.94,41.92,14.44,120.5361,14.6761,"2024-04-01 00:00:19.784678+08:00","Balanga"
"2024-04-01 00:00:22+08:00",2.0,260.35,0.0,0.77,80.11,0.79,17.19,21.74,0.01,120.5649,18.0554,"2024-04-01 00:00:22.904183+08:00","Batac City"
"2024-04-01 00:00:25+08:00",1.0,317.1,0.01,13.88,22.35,10.25,7.33,10.36,3.74,121.05,13.75,"2024-04-01 00:00:25.707512+08:00","Batangas City"
"2024-04-01 00:00:27+08:00",1.0,220.3,0.0,1.46,25.75,0.41,1.55,2.07,1.69,122.8011,9.3636,"2024-04-01 00:00:27.663156+08:00","Bayawan"
"2024-04-01 00:00:29+08:00",1.0,198.6,0.0,0.42,32.54,5.25,1.56,2.87,0.01,123.7135,13.4083,"2024-04-01 00:00:29.762451+08:00","Baybay"
"2024-04-01 00:00:32+08:00",1.0,213.62,0.02,2.53,7.96,0.66,2.22,4.07,0.5,125.7675,8.7561,"2024-04-01 00:00:32.305119+08:00","Bayugan"
"2024-04-01 00:00:34+08:00",1.0,208.62,0.0,1.29,27.9,0.33,2.6,7.13,0.44,125.0336,11.0725,"2024-04-01 00:00:34.361075+08:00","Bislig"
"2024-04-01 00:00:36+08:00",1.0,350.48,0.0,9.85,27.54,11.21,4.87,11.17,3.9,121.0807,14.3427,"2024-04-01 00:00:36.630666+08:00","Biñan"
"2024-04-01 00:00:38+08:00",1.0,223.64,0.0,2.57,22.89,2.03,2.08,4.32,0.78,124.0055,11.0517,"2024-04-01 00:00:38.791303+08:00","Bogo"
"2024-04-01 00:00:41+08:00",1.0,191.93,0.0,0.5,26.82,0.21,1.76,5.78,0.07,125.4319,11.6081,"2024-04-01 00:00:41.535293+08:00","Borongan"
"2024-04-01 00:00:43+08:00",1.0,210.29,0.0,1.18,17.7,0.34,1.58,3.37,0.39,125.5436,8.9492,"2024-04-01 00:00:43.265262+08:00","Butuan"
"2024-04-01 00:00:45+08:00",1.0,213.62,0.0,1.39,15.02,0.34,1.89,3.67,0.43,125.5344,9.1236,"2024-04-01 00:00:46.010107+08:00","Cabadbaran"
"2024-04-01 00:00:48+08:00",2.0,534.06,0.0,11.14,37.19,3.52,19.38,25.28,6.59,120.9667,15.4833,"2024-04-01 00:00:48.235587+08:00","Cabanatuan City"
"2024-04-01 00:00:49+08:00",1.0,350.48,0.0,9.85,27.54,11.21,4.87,11.17,3.9,121.1262,14.2726,"2024-04-01 00:00:49.869991+08:00","Cabuyao"
"2024-04-01 00:00:51+08:00",1.0,220.3,0.0,1.99,36.84,2.33,3.72,4.68,0.28,123.2856,10.9506,"2024-04-01 00:00:51.221170+08:00","Cadiz"
"2024-04-01 00:00:53+08:00",1.0,293.73,0.0,4.67,20.03,1.57,3.79,5.45,3.1,124.6472,8.4822,"2024-04-01 00:00:53.349913+08:00","Cagayan de Oro"
"2024-04-01 00:00:54+08:00",2.0,360.49,0.0,12.85,31.47,8.46,11.82,15.68,5.0,120.8133,13.9324,"2024-04-01 00:00:55.076512+08:00","Calaca"
"2024-04-01 00:00:57+08:00",1.0,350.48,0.0,9.85,27.54,11.21,4.87,11.17,3.9,121.1653,14.2117,"2024-04-01 00:00:57.291388+08:00","Calamba"
"2024-04-01 00:00:58+08:00",1.0,230.31,0.0,3.13,32.54,3.46,3.83,5.34,0.0,121.1803,13.4117,"2024-04-01 00:00:58.849035+08:00","Calapan"
"2024-04-01 00:01:02+08:00",1.0,220.3,0.01,1.44,12.34,3.52,4.11,7.1,0.67,124.6,12.0667,"2024-04-01 00:01:02.508477+08:00","Calbayog City"
