"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-05-01 00:00:00+08:00",3.0,417.23,0.0,7.63,84.4,4.35,35.15,44.26,11.02,119.9811,16.1561,"2024-05-01 00:00:01.118299+08:00","Alaminos"
"2024-05-01 00:00:02+08:00",3.0,640.87,0.0,11.48,107.29,12.4,41.44,49.78,21.53,120.5833,15.15,"2024-05-01 00:00:02.670788+08:00","Angeles City"
"2024-05-01 00:00:04+08:00",1.0,327.11,0.04,6.08,15.38,1.03,4.11,6.49,4.37,121.19,15.6181,"2024-05-01 00:00:04.958592+08:00","Antipolo"
"2024-05-01 00:00:07+08:00",1.0,200.27,0.0,1.08,18.24,1.91,2.19,3.02,0.73,123.5085,12.2285,"2024-05-01 00:00:07.847271+08:00","Bacolod"
"2024-05-01 00:00:10+08:00",2.0,467.3,0.23,22.96,3.98,23.6,8.94,17.64,5.95,120.929,14.459000000000001,"2024-05-01 00:00:10.505465+08:00","Bacoor"
"2024-05-01 00:00:12+08:00",1.0,350.48,0.0,11.14,22.35,2.89,5.8,9.06,5.89,122.8333,10.5333,"2024-05-01 00:00:13.101293+08:00","Bago City"
"2024-05-01 00:00:14+08:00",3.0,337.12,0.0,2.16,94.41,2.33,34.12,38.73,1.5,120.5931,16.4164,"2024-05-01 00:00:14.975793+08:00","Baguio"
"2024-05-01 00:00:17+08:00",1.0,211.95,0.0,1.63,18.06,0.26,1.05,1.4,1.17,123.1228,9.5911,"2024-05-01 00:00:17.447535+08:00","Bais"
"2024-05-01 00:00:18+08:00",1.0,317.1,0.0,10.2,40.41,8.11,9.77,14.11,2.79,120.5361,14.6761,"2024-05-01 00:00:19.116967+08:00","Balanga"
"2024-05-01 00:00:20+08:00",3.0,303.75,0.0,0.72,90.12,0.86,30.87,35.42,0.0,120.5649,18.0554,"2024-05-01 00:00:20.859124+08:00","Batac City"
"2024-05-01 00:00:22+08:00",1.0,236.99,0.01,7.03,21.99,6.74,5.83,7.45,1.82,121.05,13.75,"2024-05-01 00:00:22.182173+08:00","Batangas City"
"2024-05-01 00:00:24+08:00",1.0,210.29,0.0,2.16,18.06,0.81,1.01,1.27,1.2,122.8011,9.3636,"2024-05-01 00:00:24.772519+08:00","Bayawan"
"2024-05-01 00:00:26+08:00",1.0,178.58,0.0,0.36,25.39,5.25,1.79,4.94,0.0,123.7135,13.4083,"2024-05-01 00:00:26.991282+08:00","Baybay"
"2024-05-01 00:00:29+08:00",1.0,210.29,0.04,2.79,4.07,0.75,2.41,3.5,0.56,125.7675,8.7561,"2024-05-01 00:00:29.692141+08:00","Bayugan"
"2024-05-01 00:00:31+08:00",1.0,185.25,0.0,0.95,28.61,0.31,1.76,6.71,0.39,125.0336,11.0725,"2024-05-01 00:00:31.367992+08:00","Bislig"
"2024-05-01 00:00:33+08:00",1.0,280.38,0.25,13.37,9.74,17.17,4.89,9.63,2.95,121.0807,14.3427,"2024-05-01 00:00:33.842259+08:00","Biñan"
"2024-05-01 00:00:35+08:00",1.0,196.93,0.0,3.6,16.99,4.17,1.78,2.39,0.48,124.0055,11.0517,"2024-05-01 00:00:35.475261+08:00","Bogo"
"2024-05-01 00:00:37+08:00",1.0,170.23,0.0,0.56,33.26,0.27,1.75,8.05,0.1,125.4319,11.6081,"2024-05-01 00:00:37.979380+08:00","Borongan"
"2024-05-01 00:00:39+08:00",1.0,205.28,0.0,1.67,12.52,0.42,1.62,2.21,0.44,125.5436,8.9492,"2024-05-01 00:00:39.387388+08:00","Butuan"
"2024-05-01 00:00:40+08:00",1.0,216.96,0.0,2.46,9.39,0.54,1.72,2.44,0.85,125.5344,9.1236,"2024-05-01 00:00:41.010912+08:00","Cabadbaran"
"2024-05-01 00:00:43+08:00",1.0,327.11,0.0,5.83,21.28,1.45,3.76,6.78,5.0,120.9667,15.4833,"2024-05-01 00:00:43.355919+08:00","Cabanatuan City"
"2024-05-01 00:00:44+08:00",1.0,280.38,0.25,13.37,9.74,17.17,4.89,9.63,2.95,121.1262,14.2726,"2024-05-01 00:00:44.912581+08:00","Cabuyao"
"2024-05-01 00:00:47+08:00",1.0,240.33,0.0,3.47,20.39,1.58,2.49,3.32,1.58,123.2856,10.9506,"2024-05-01 00:00:47.341571+08:00","Cadiz"
"2024-05-01 00:00:49+08:00",1.0,333.79,0.0,5.57,17.52,1.64,4.91,5.9,4.24,124.6472,8.4822,"2024-05-01 00:00:49.298645+08:00","Cagayan de Oro"
"2024-05-01 00:00:50+08:00",1.0,233.65,0.0,6.17,24.68,6.26,7.57,9.07,1.85,120.8133,13.9324,"2024-05-01 00:00:50.990896+08:00","Calaca"
"2024-05-01 00:00:53+08:00",1.0,280.38,0.25,13.37,9.74,17.17,4.89,9.63,2.95,121.1653,14.2117,"2024-05-01 00:00:53.391697+08:00","Calamba"
"2024-05-01 00:00:54+08:00",1.0,203.61,0.0,1.61,22.89,1.97,3.07,4.0,0.0,121.1803,13.4117,"2024-05-01 00:00:55.104066+08:00","Calapan"
"2024-05-01 00:00:57+08:00",1.0,196.93,0.01,1.5,15.02,3.82,3.46,9.69,0.66,124.6,12.0667,"2024-05-01 00:00:57.794023+08:00","Calbayog City"
"2024-05-01 00:00:59+08:00",2.0,727.65,1.52,28.79,0.71,22.89,14.4,31.6,11.78,120.9667,14.65,"2024-05-01 00:00:59.377597+08:00","Caloocan City"
"2024-05-01 00:01:00+08:00",3.0,307.08,0.0,0.69,94.41,0.84,28.91,32.89,0.27,120.4517,17.1947,"2024-05-01 00:01:00.992727+08:00","Candon"
"2024-05-01 00:01:03+08:00",1.0,277.04,0.03,5.31,13.95,1.06,3.08,3.95,3.36,123.1964,10.3864,"2024-05-01 00:01:03.204199+08:00","Canlaon"
"2024-05-01 00:01:04+08:00",1.0,208.62,0.0,3.73,17.52,2.33,1.92,3.44,1.38,123.6402,10.1061,"2024-05-01 00:01:04.924349+08:00","Carcar"
"2024-05-01 00:01:06+08:00",1.0,280.38,0.25,13.37,9.74,17.17,4.89,9.63,2.95,121.0576,14.3132,"2024-05-01 00:01:06.571750+08:00","Carmona"
"2024-05-01 00:01:08+08:00",1.0,185.25,0.0,0.86,26.82,0.28,2.22,8.15,0.46,124.8861,11.7753,"2024-05-01 00:01:08.462938+08:00","Catbalogan"
"2024-05-01 00:01:10+08:00",1.0,397.21,0.02,9.17,13.23,1.59,6.89,10.74,25.33,121.7725,16.9347,"2024-05-01 00:01:10.929621+08:00","Cauayan"
"2024-05-01 00:01:12+08:00",2.0,467.3,0.23,22.96,3.98,23.6,8.94,17.64,5.95,120.9169,14.4825,"2024-05-01 00:01:12.700117+08:00","Cavite City"
"2024-05-01 00:01:13+08:00",1.0,257.02,0.02,5.31,13.59,4.23,2.89,4.29,2.38,123.8907,10.3167,"2024-05-01 00:01:13.997376+08:00","Cebu City"
"2024-05-01 00:01:15+08:00",2.0,507.36,1.93,14.74,2.26,12.04,7.72,23.54,7.16,121.1,14.6333,"2024-05-01 00:01:15.962212+08:00","City of Marikina"
"2024-05-01 00:01:18+08:00",1.0,200.27,0.0,1.08,18.24,1.91,2.19,3.02,0.73,123.5833,12.3333,"2024-05-01 00:01:18.322783+08:00","City of Masbate"
"2024-05-01 00:01:20+08:00",2.0,600.82,0.64,13.02,3.67,2.03,14.77,18.71,10.51,122.65,11.15,"2024-05-01 00:01:20.819021+08:00","City of Passi"
