"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-06-01 00:00:00+08:00",2.0,447.27,0.0,9.08,19.67,2.74,13.03,14.61,3.55,119.9811,16.1561,"2024-06-01 00:00:00.625746+08:00","Alaminos"
"2024-06-01 00:00:02+08:00",2.0,694.28,0.01,16.97,13.59,4.65,20.35,24.38,18.24,120.5833,15.15,"2024-06-01 00:00:02.685286+08:00","Angeles City"
"2024-06-01 00:00:04+08:00",2.0,667.57,0.57,11.82,1.54,1.61,15.59,18.19,4.12,121.19,15.6181,"2024-06-01 00:00:05.097348+08:00","Antipolo"
"2024-06-01 00:00:07+08:00",1.0,216.96,0.01,2.55,9.66,2.38,6.28,6.8,0.99,123.5085,12.2285,"2024-06-01 00:00:07.804801+08:00","Bacolod"
"2024-06-01 00:00:10+08:00",3.0,907.9,0.0,40.1,13.77,23.37,30.23,39.56,6.33,120.929,14.459000000000001,"2024-06-01 00:00:10.385933+08:00","Bacoor"
"2024-06-01 00:00:11+08:00",1.0,270.37,0.0,4.37,27.9,1.73,3.31,5.02,1.5,122.8333,10.5333,"2024-06-01 00:00:12.038753+08:00","Bago City"
"2024-06-01 00:00:13+08:00",2.0,694.28,0.0,11.65,17.7,4.05,24.57,27.65,5.07,120.5931,16.4164,"2024-06-01 00:00:13.489119+08:00","Baguio"
"2024-06-01 00:00:16+08:00",1.0,297.07,0.01,3.81,13.95,0.83,5.47,7.05,8.11,123.1228,9.5911,"2024-06-01 00:00:16.196946+08:00","Bais"
"2024-06-01 00:00:17+08:00",3.0,921.25,0.82,41.81,2.3,11.33,28.94,33.15,20.01,120.5361,14.6761,"2024-06-01 00:00:17.922209+08:00","Balanga"
"2024-06-01 00:00:20+08:00",3.0,447.27,0.0,2.14,105.86,1.57,27.18,28.61,0.48,120.5649,18.0554,"2024-06-01 00:00:20.662844+08:00","Batac City"
"2024-06-01 00:00:21+08:00",2.0,567.44,1.01,29.13,3.35,14.66,13.83,18.63,14.06,121.05,13.75,"2024-06-01 00:00:22.255267+08:00","Batangas City"
"2024-06-01 00:00:24+08:00",1.0,307.08,0.0,2.91,25.75,0.71,5.68,6.29,2.25,122.8011,9.3636,"2024-06-01 00:00:25.087428+08:00","Bayawan"
"2024-06-01 00:00:26+08:00",1.0,175.24,0.0,0.47,25.03,8.58,2.09,2.56,0.0,123.7135,13.4083,"2024-06-01 00:00:26.823720+08:00","Baybay"
"2024-06-01 00:00:28+08:00",1.0,213.62,0.04,2.74,4.11,0.75,1.75,2.64,0.56,125.7675,8.7561,"2024-06-01 00:00:28.527504+08:00","Bayugan"
"2024-06-01 00:00:30+08:00",1.0,195.27,0.01,1.39,18.6,0.32,0.96,2.13,0.5,125.0336,11.0725,"2024-06-01 00:00:30.728247+08:00","Bislig"
"2024-06-01 00:00:32+08:00",4.0,2349.85,23.69,45.93,0.0,19.79,66.37,86.17,14.19,121.0807,14.3427,"2024-06-01 00:00:32.440335+08:00","Biñan"
"2024-06-01 00:00:34+08:00",1.0,206.95,0.0,2.55,19.49,0.93,1.93,2.65,0.55,124.0055,11.0517,"2024-06-01 00:00:35.113647+08:00","Bogo"
"2024-06-01 00:00:37+08:00",1.0,190.26,0.08,2.23,7.33,0.48,1.09,2.35,0.56,125.4319,11.6081,"2024-06-01 00:00:37.523414+08:00","Borongan"
